region;norm_diff;norm_diff_winter
Белгородская область;3,4;-1,0
Брянская область;2,6;-2,0
Владимирская область;1,8;-4,8
Воронежская область;2,6;-1,2
Ивановская область;1,5;-4,5
Калужская область;2,2;-2,7
Костромская область;1,1;-4,0
Курская область;3,2;-1,7
Липецкая область;2,3;-3,1
Московская область (включая г. Москву);2,4;-3,9
Орловская область;2,3;-2,5
Рязанская область;1,7;-3,9
Смоленская область;2;-2,8
Тамбовская область;2;-2,8
Тверская область;1,7;-4,6
Тульская область;2,4;-3,2
Ярославская область;1,8;-4,2
Республика Карелия;1,1;-3,9
Республика Коми;1,2;-0,6
Архангельская область;0,9;0,0
Вологодская область;1,7;-3,8
Калининградская область;1,1;-0,2
"Ленинградская область
(включая г. Санкт-Петербург)";1,6;-4,2
Мурманская область;2,3;-1,2
Новгородская область;1,2;-3,9
Псковская область;1,3;-3,4
Республика Адыгея;3,4;0,3
Республика Калмыкия;2,8;0,5
Краснодарский край;3,1;1,2
Астраханская область;1,8;0,6
Волгоградская область;1,9;-0,2
Ростовская область;3,4;0,8
"Республика Крым 
(включая г. Севастополь)";3,6;1,4
Республика Дагестан;1,2;0,4
Республика Ингушетия;1,8;1,8
Кабардино-Балкарская Республика;2,1;0,8
Карачаево-Черкесская Республика;1,7;0,9
Республика Северная Осетия - Алания;2;0,6
Чеченская Республика;1,2;0,2
Ставропольский край;2,8;0,1
Республика Башкортостан;-0,2;-1,7
Республика Марий Эл;1;-3,1
Республика Мордовия;1,5;-3,2
Республика Татарстан;0,7;-2,8
Удмуртская Республика;0,1;-2,1
Чувашская Республика;1,3;-3,1
Пермский край;0,1;-2,3
Кировская область;0,8;-2,8
Нижегородская область;1;-3,7
Оренбургская область;-0,3;-0,9
Пензенская область;1,6;-3,0
Самарская область;0,9;-2,2
Саратовская область;1,9;-1,4
Ульяновская область;1,3;-2,7
Курганская область;0,3;-0,6
Свердловская область;0,2;-1,5
Тюменская область;0,5;0,1
Челябинская область;0,1;-1,6
Республика Алтай;1,6;2,1
Республика Тыва;2,8;1,5
Республика Хакасия;2,5;1,3
Алтайский край;1,6;2,3
Красноярский край;1,5;2,2
Иркутская область;2,9;1,5
Кемеровская область;2,2;1,0
Новосибирская область;1,3;1,6
Омская область;0,4;0,6
Томская область;1,6;1,7
Республика Бурятия;2,7;1,3
Республика Саха (Якутия);0,9;-1,3
Забайкальский край;2,5;1,7
Камчатский край;0,4;-2,5
Приморский край;1,4;1,5
Хабаровский край;0,2;-1,5
Амурская область;1,2;-0,1
Магаданская область;-0,5;-4,9
Сахалинская область;1,5;-2,0
Еврейская автономная область;0,4;-0,2
Чукотский автономный округ;-1,1;1,4
