National Total;Autonomous Communities and Cities;Provinces;Municipality size;Period;Total
National Total;01 Andalucía;04 Almería;Total;2024;760,964
National Total;01 Andalucía;11 Cádiz;Total;2024;1,258,730
National Total;01 Andalucía;14 Córdoba;Total;2024;774,313
National Total;01 Andalucía;18 Granada;Total;2024;939,741
National Total;01 Andalucía;21 Huelva;Total;2024;535,734
National Total;01 Andalucía;23 Jaén;Total;2024;619,055
National Total;01 Andalucía;29 Málaga;Total;2024;1,774,701
National Total;01 Andalucía;41 Sevilla;Total;2024;1,968,624
National Total;02 Aragón;22 Huesca;Total;2024;228,519
National Total;02 Aragón;44 Teruel;Total;2024;135,309
National Total;02 Aragón;50 Zaragoza;Total;2024;987,763
National Total;03 Asturias, Principado de;33 Asturias;Total;2024;1,009,599
National Total;04 Balears, Illes;07 Balears, Illes;Total;2024;1,231,768
National Total;05 Canarias;35 Palmas, Las;Total;2024;1,159,890
National Total;05 Canarias;38 Santa Cruz de Tenerife;Total;2024;1,078,864
National Total;06 Cantabria;39 Cantabria;Total;2024;590,851
National Total;07 Castilla y León;05 Ávila;Total;2024;160,463
National Total;07 Castilla y León;09 Burgos;Total;2024;359,740
National Total;07 Castilla y León;24 León;Total;2024;447,802
National Total;07 Castilla y León;34 Palencia;Total;2024;158,063
National Total;07 Castilla y León;37 Salamanca;Total;2024;327,552
National Total;07 Castilla y León;40 Segovia;Total;2024;156,620
National Total;07 Castilla y León;42 Soria;Total;2024;90,073
National Total;07 Castilla y León;47 Valladolid;Total;2024;525,116
National Total;07 Castilla y León;49 Zamora;Total;2024;166,253
National Total;08 Castilla - La Mancha;02 Albacete;Total;2024;389,070
National Total;08 Castilla - La Mancha;13 Ciudad Real;Total;2024;492,948
National Total;08 Castilla - La Mancha;16 Cuenca;Total;2024;199,025
National Total;08 Castilla - La Mancha;19 Guadalajara;Total;2024;280,225
National Total;08 Castilla - La Mancha;45 Toledo;Total;2024;743,165
National Total;09 Cataluña;08 Barcelona;Total;2024;5,877,672
National Total;09 Cataluña;17 Girona;Total;2024;821,108
National Total;09 Cataluña;25 Lleida;Total;2024;451,707
National Total;09 Cataluña;43 Tarragona;Total;2024;861,744
National Total;10 Comunitat Valenciana;03 Alicante/Alacant;Total;2024;1,993,289
National Total;10 Comunitat Valenciana;12 Castellón/Castelló;Total;2024;615,188
National Total;10 Comunitat Valenciana;46 Valencia/València;Total;2024;2,710,808
National Total;11 Extremadura;06 Badajoz;Total;2024;666,029
National Total;11 Extremadura;10 Cáceres;Total;2024;388,652
National Total;12 Galicia;15 Coruña, A;Total;2024;1,128,449
National Total;12 Galicia;27 Lugo;Total;2024;325,048
National Total;12 Galicia;32 Ourense;Total;2024;304,467
National Total;12 Galicia;36 Pontevedra;Total;2024;947,869
National Total;13 Madrid, Comunidad de;28 Madrid;Total;2024;7,009,268
National Total;14 Murcia, Región de;30 Murcia;Total;2024;1,568,492
National Total;15 Navarra, Comunidad Foral de;31 Navarra;Total;2024;678,333
National Total;16 País Vasco;01 Araba/Álava;Total;2024;338,594
National Total;16 País Vasco;20 Gipuzkoa;Total;2024;729,722
National Total;16 País Vasco;48 Bizkaia;Total;2024;1,159,368
National Total;17 Rioja, La;26 Rioja, La;Total;2024;324,184
National Total;18 Ceuta;51 Ceuta;Total;2024;83,179
National Total;19 Melilla;52 Melilla;Total;2024;85,985
